stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id
"19627","Hoddle St/Fletcher St #39","-37.75569314","144.92316425","https://transport.vic.gov.au/stop/2676/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19628","Nicholson St/Fletcher St #40","-37.75545596","144.92095755","https://transport.vic.gov.au/stop/2675/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19657","Fletcher St/Napier St #41","-37.75487922","144.91738701","https://transport.vic.gov.au/stop/2674/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19658","Shamrock St/Mt Alexander Rd #42","-37.75249642","144.91564919","https://transport.vic.gov.au/stop/2673/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19659","Thistle St/Mt Alexander Rd #43","-37.75066226","144.91436140","https://transport.vic.gov.au/stop/2672/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19660","Thorn St/Mt Alexander Rd #44","-37.74835469","144.91280325","https://transport.vic.gov.au/stop/2669/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19661","Leake St/Mt Alexander Rd #45","-37.74638439","144.91146268","https://transport.vic.gov.au/stop/2750/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19662","Lincoln Rd/Mt Alexander Rd #46","-37.74476958","144.91035051","https://transport.vic.gov.au/stop/2666/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19663","Mt Alexander Rd/Keilor Rd #47","-37.74416157","144.90909656","https://transport.vic.gov.au/stop/2664/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19664","Service St/Keilor Rd #48","-37.74282149","144.90569570","https://transport.vic.gov.au/stop/2663/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19665","Essendon North Primary School/Keilor Rd #49","-37.74168259","144.90297018","https://transport.vic.gov.au/stop/2662/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19666","Cooper St/Keilor Rd #50","-37.74020440","144.89941458","https://transport.vic.gov.au/stop/2661/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19667","Bradshaw St/Keilor Rd #51","-37.73877237","144.89592590","https://transport.vic.gov.au/stop/2659/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19669","Matthews Ave/Keilor Rd #53A","-37.73655163","144.89016754","https://transport.vic.gov.au/stop/2658/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19670","Keilor Rd/Matthews Ave #53","-37.73495933","144.88931631","https://transport.vic.gov.au/stop/2657/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19671","Fullarton Rd/Matthews Ave #54","-37.73237075","144.88969619","https://transport.vic.gov.au/stop/2656/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19672","Cameron St/Matthews Ave #55","-37.72996332","144.89012763","https://transport.vic.gov.au/stop/2654/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19673","Earl St/Matthews Ave #56","-37.72720522","144.89060302","https://transport.vic.gov.au/stop/2652/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19674","Hawker St/Matthews Ave #57","-37.72311709","144.89128628","https://transport.vic.gov.au/stop/2651/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19675","Marshall Rd/Matthews Ave #58","-37.71841626","144.89197548","https://transport.vic.gov.au/stop/2650/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
